Status_of_existing_checking_account,Duration_in_month,Credit_history,Purpose,Credit_amount,Savings_account_bonds,Present_employment_since,Installment_rate_in_percentage_of_disposable_income,Personal_status_and_sex,Other_debtors_guarantors,Present_residence_since,Property,Age_in_years,Other_installment_plans,Housing,Number_of_existing_credits_at_this_bank,Job,Number_of_people_being_liable_to_provide_maintenance_for,Telephone,foreign_worker,Credit_risk,credit_per_month,age_group,age_under_25,age_25_to_40,age_over_40,checking_desc,chk_lt_0,chk_0_200,chk_ge_200,chk_none,history_desc,hist_no_credits,hist_all_paid,hist_existing_paid,hist_past_delay,hist_critical,purpose_desc,pur_car_new,pur_car_used,pur_furniture,pur_radio_tv,pur_domestic,pur_repairs,pur_education,pur_vacation,pur_retraining,pur_business,pur_others,savings_desc,sav_lt_100,sav_100_500,sav_500_1000,sav_ge_1000,sav_unknown,emp_desc,emp_unempl,emp_lt1,emp_1_4,emp_4_7,emp_ge7,status_sex_desc,sex_m_divsep,sex_f_divsep_mar,sex_m_single,sex_m_marwid,sex_f_single,debtors_desc,debt_none,debt_coapp,debt_guarantor,Present_residence_since:1,property_desc,prop_real,prop_sav_ins,prop_car_other,prop_unknown,inst_plans_desc,inst_bank,inst_stores,inst_none,housing_desc,house_rent,house_own,house_free,Number_of_existing_credits_at_this_bank:1,job_desc,job_unsk_nonres,job_unsk_res,job_skilled,job_manage,Number_of_people_being_liable_to_provide_maintenance_for:1,tel_desc,tel_none,tel_yes,foreign_desc,foreign_yes,foreign_no
A12,18,A34,A40,884,A61,A75,4,A93,A101,4,A123,36,A141,A152,1,A173,2,A192,A201,2,49.111111111111114,25_to_40,0,1,0,0-200,0,1,0,0,critical_or_other,0,0,0,0,1,car_new,1,0,0,0,0,0,0,0,0,0,0,<100,1,0,0,0,0,>=7yr,0,0,0,0,1,m_single,0,0,1,0,0,none,1,0,0,4,car_other,0,0,1,0,bank,1,0,0,own,0,1,0,1,skilled,0,0,1,0,2,yes_registered,0,1,yes,1,0
A14,15,A34,A43,1360,A61,A73,4,A93,A101,2,A122,31,A143,A152,2,A173,1,A191,A201,1,90.66666666666667,25_to_40,0,1,0,no_account,0,0,0,1,critical_or_other,0,0,0,0,1,radio_tv,0,0,0,1,0,0,0,0,0,0,0,<100,1,0,0,0,0,1-4yr,0,0,1,0,0,m_single,0,0,1,0,0,none,1,0,0,2,savings_ins,0,1,0,0,none,0,0,1,own,0,1,0,2,skilled,0,0,1,0,1,none,1,0,yes,1,0
A12,9,A31,A41,5129,A61,A75,2,A92,A101,4,A124,74,A141,A153,1,A174,2,A192,A201,2,569.8888888888889,Over_40,0,0,1,0-200,0,1,0,0,all_paid_duly,0,1,0,0,0,car_used,0,1,0,0,0,0,0,0,0,0,0,<100,1,0,0,0,0,>=7yr,0,0,0,0,1,f_div_sep_mar,0,1,0,0,0,none,1,0,0,4,unknown,0,0,0,1,bank,1,0,0,free,0,0,1,1,management,0,0,0,1,2,yes_registered,0,1,yes,1,0
A12,16,A34,A40,1175,A61,A71,2,A93,A101,3,A123,68,A143,A153,3,A171,1,A192,A201,1,73.4375,Over_40,0,0,1,0-200,0,1,0,0,critical_or_other,0,0,0,0,1,car_new,1,0,0,0,0,0,0,0,0,0,0,<100,1,0,0,0,0,unemployed,1,0,0,0,0,m_single,0,0,1,0,0,none,1,0,0,3,car_other,0,0,1,0,none,0,0,1,free,0,0,1,3,unskilled_nonres,1,0,0,0,1,yes_registered,0,1,yes,1,0
A11,12,A32,A43,674,A62,A74,4,A94,A101,1,A122,20,A143,A152,1,A173,1,A191,A201,2,56.166666666666664,Under_25,1,0,0,<0,1,0,0,0,existing_paid_duly,0,0,1,0,0,radio_tv,0,0,0,1,0,0,0,0,0,0,0,100-500,0,1,0,0,0,4-7yr,0,0,0,1,0,m_mar_wid,0,0,0,1,0,none,1,0,0,1,savings_ins,0,1,0,0,none,0,0,1,own,0,1,0,1,skilled,0,0,1,0,1,none,1,0,yes,1,0
A12,18,A30,A42,3244,A61,A73,1,A92,A101,4,A123,33,A141,A152,2,A173,1,A192,A201,1,180.22222222222223,25_to_40,0,1,0,0-200,0,1,0,0,no_credits,1,0,0,0,0,furniture,0,0,1,0,0,0,0,0,0,0,0,<100,1,0,0,0,0,1-4yr,0,0,1,0,0,f_div_sep_mar,0,1,0,0,0,none,1,0,0,4,car_other,0,0,1,0,bank,1,0,0,own,0,1,0,2,skilled,0,0,1,0,1,yes_registered,0,1,yes,1,0
A14,24,A32,A49,4591,A64,A73,2,A93,A101,3,A122,54,A143,A152,3,A174,1,A192,A201,2,191.29166666666666,Over_40,0,0,1,no_account,0,0,0,1,existing_paid_duly,0,0,1,0,0,business,0,0,0,0,0,0,0,0,0,1,0,>=1000,0,0,0,1,0,1-4yr,0,0,1,0,0,m_single,0,0,1,0,0,none,1,0,0,3,savings_ins,0,1,0,0,none,0,0,1,own,0,1,0,3,management,0,0,0,1,1,yes_registered,0,1,yes,1,0
A12,48,A30,A49,3844,A62,A74,4,A93,A101,4,A124,34,A143,A153,1,A172,2,A191,A201,2,80.08333333333333,25_to_40,0,1,0,0-200,0,1,0,0,no_credits,1,0,0,0,0,business,0,0,0,0,0,0,0,0,0,1,0,100-500,0,1,0,0,0,4-7yr,0,0,0,1,0,m_single,0,0,1,0,0,none,1,0,0,4,unknown,0,0,0,1,none,0,0,1,free,0,0,1,1,unskilled_res,0,1,0,0,2,none,1,0,yes,1,0
A12,27,A32,A49,3915,A61,A73,4,A93,A101,2,A123,36,A143,A152,1,A173,2,A192,A201,2,145.0,25_to_40,0,1,0,0-200,0,1,0,0,existing_paid_duly,0,0,1,0,0,business,0,0,0,0,0,0,0,0,0,1,0,<100,1,0,0,0,0,1-4yr,0,0,1,0,0,m_single,0,0,1,0,0,none,1,0,0,2,car_other,0,0,1,0,none,0,0,1,own,0,1,0,1,skilled,0,0,1,0,2,yes_registered,0,1,yes,1,0
A14,6,A32,A43,2108,A61,A74,2,A94,A101,2,A121,29,A143,A151,1,A173,1,A191,A201,1,351.3333333333333,25_to_40,0,1,0,no_account,0,0,0,1,existing_paid_duly,0,0,1,0,0,radio_tv,0,0,0,1,0,0,0,0,0,0,0,<100,1,0,0,0,0,4-7yr,0,0,0,1,0,m_mar_wid,0,0,0,1,0,none,1,0,0,2,real_estate,1,0,0,0,none,0,0,1,rent,1,0,0,1,skilled,0,0,1,0,1,none,1,0,yes,1,0
A12,45,A32,A43,3031,A62,A73,4,A93,A103,4,A122,21,A143,A151,1,A173,1,A191,A201,2,67.35555555555555,Under_25,1,0,0,0-200,0,1,0,0,existing_paid_duly,0,0,1,0,0,radio_tv,0,0,0,1,0,0,0,0,0,0,0,100-500,0,1,0,0,0,1-4yr,0,0,1,0,0,m_single,0,0,1,0,0,guarantor,0,0,1,4,savings_ins,0,1,0,0,none,0,0,1,rent,1,0,0,1,skilled,0,0,1,0,1,none,1,0,yes,1,0
A12,9,A34,A46,1501,A61,A75,2,A92,A101,3,A123,34,A143,A152,2,A174,1,A192,A201,2,166.77777777777777,25_to_40,0,1,0,0-200,0,1,0,0,critical_or_other,0,0,0,0,1,education,0,0,0,0,0,0,1,0,0,0,0,<100,1,0,0,0,0,>=7yr,0,0,0,0,1,f_div_sep_mar,0,1,0,0,0,none,1,0,0,3,car_other,0,0,1,0,none,0,0,1,own,0,1,0,2,management,0,0,0,1,1,yes_registered,0,1,yes,1,0
A14,6,A34,A43,1382,A61,A73,1,A92,A101,1,A123,28,A143,A152,2,A173,1,A192,A201,1,230.33333333333334,25_to_40,0,1,0,no_account,0,0,0,1,critical_or_other,0,0,0,0,1,radio_tv,0,0,0,1,0,0,0,0,0,0,0,<100,1,0,0,0,0,1-4yr,0,0,1,0,0,f_div_sep_mar,0,1,0,0,0,none,1,0,0,1,car_other,0,0,1,0,none,0,0,1,own,0,1,0,2,skilled,0,0,1,0,1,yes_registered,0,1,yes,1,0
A12,12,A32,A42,951,A62,A72,4,A92,A101,4,A123,27,A141,A151,4,A173,1,A191,A201,2,79.25,25_to_40,0,1,0,0-200,0,1,0,0,existing_paid_duly,0,0,1,0,0,furniture,0,0,1,0,0,0,0,0,0,0,0,100-500,0,1,0,0,0,<1yr,0,1,0,0,0,f_div_sep_mar,0,1,0,0,0,none,1,0,0,4,car_other,0,0,1,0,bank,1,0,0,rent,1,0,0,4,skilled,0,0,1,0,1,none,1,0,yes,1,0
A12,24,A32,A41,2760,A65,A75,4,A93,A101,4,A124,36,A141,A153,1,A173,1,A192,A201,1,115.0,25_to_40,0,1,0,0-200,0,1,0,0,existing_paid_duly,0,0,1,0,0,car_used,0,1,0,0,0,0,0,0,0,0,0,unknown,0,0,0,0,1,>=7yr,0,0,0,0,1,m_single,0,0,1,0,0,none,1,0,0,4,unknown,0,0,0,1,bank,1,0,0,free,0,0,1,1,skilled,0,0,1,0,1,yes_registered,0,1,yes,1,0
A12,18,A33,A42,4297,A61,A75,4,A91,A101,3,A124,40,A143,A152,1,A174,1,A192,A201,2,238.72222222222223,25_to_40,0,1,0,0-200,0,1,0,0,past_delay,0,0,0,1,0,furniture,0,0,1,0,0,0,0,0,0,0,0,<100,1,0,0,0,0,>=7yr,0,0,0,0,1,m_div_sep,1,0,0,0,0,none,1,0,0,3,unknown,0,0,0,1,none,0,0,1,own,0,1,0,1,management,0,0,0,1,1,yes_registered,0,1,yes,1,0
A14,9,A34,A46,936,A63,A75,4,A93,A101,2,A123,52,A143,A152,2,A173,1,A192,A201,1,104.0,Over_40,0,0,1,no_account,0,0,0,1,critical_or_other,0,0,0,0,1,education,0,0,0,0,0,0,1,0,0,0,0,500-1000,0,0,1,0,0,>=7yr,0,0,0,0,1,m_single,0,0,1,0,0,none,1,0,0,2,car_other,0,0,1,0,none,0,0,1,own,0,1,0,2,skilled,0,0,1,0,1,yes_registered,0,1,yes,1,0
A11,12,A32,A40,1168,A61,A73,4,A94,A101,3,A121,27,A143,A152,1,A172,1,A191,A201,1,97.33333333333333,25_to_40,0,1,0,<0,1,0,0,0,existing_paid_duly,0,0,1,0,0,car_new,1,0,0,0,0,0,0,0,0,0,0,<100,1,0,0,0,0,1-4yr,0,0,1,0,0,m_mar_wid,0,0,0,1,0,none,1,0,0,3,real_estate,1,0,0,0,none,0,0,1,own,0,1,0,1,unskilled_res,0,1,0,0,1,none,1,0,yes,1,0
A14,27,A33,A49,5117,A61,A74,3,A93,A101,4,A123,26,A143,A152,2,A173,1,A191,A201,1,189.5185185185185,25_to_40,0,1,0,no_account,0,0,0,1,past_delay,0,0,0,1,0,business,0,0,0,0,0,0,0,0,0,1,0,<100,1,0,0,0,0,4-7yr,0,0,0,1,0,m_single,0,0,1,0,0,none,1,0,0,4,car_other,0,0,1,0,none,0,0,1,own,0,1,0,2,skilled,0,0,1,0,1,none,1,0,yes,1,0
A11,12,A32,A48,902,A61,A74,4,A94,A101,4,A122,21,A143,A151,1,A173,1,A191,A201,2,75.16666666666667,Under_25,1,0,0,<0,1,0,0,0,existing_paid_duly,0,0,1,0,0,retraining,0,0,0,0,0,0,0,0,1,0,0,<100,1,0,0,0,0,4-7yr,0,0,0,1,0,m_mar_wid,0,0,0,1,0,none,1,0,0,4,savings_ins,0,1,0,0,none,0,0,1,rent,1,0,0,1,skilled,0,0,1,0,1,none,1,0,yes,1,0
A14,12,A34,A40,1495,A61,A75,4,A93,A101,1,A121,38,A143,A152,2,A172,2,A191,A201,1,124.58333333333333,25_to_40,0,1,0,no_account,0,0,0,1,critical_or_other,0,0,0,0,1,car_new,1,0,0,0,0,0,0,0,0,0,0,<100,1,0,0,0,0,>=7yr,0,0,0,0,1,m_single,0,0,1,0,0,none,1,0,0,1,real_estate,1,0,0,0,none,0,0,1,own,0,1,0,2,unskilled_res,0,1,0,0,2,none,1,0,yes,1,0
A11,30,A34,A41,10623,A61,A75,3,A93,A101,4,A124,38,A143,A153,3,A174,2,A192,A201,1,354.1,25_to_40,0,1,0,<0,1,0,0,0,critical_or_other,0,0,0,0,1,car_used,0,1,0,0,0,0,0,0,0,0,0,<100,1,0,0,0,0,>=7yr,0,0,0,0,1,m_single,0,0,1,0,0,none,1,0,0,4,unknown,0,0,0,1,none,0,0,1,free,0,0,1,3,management,0,0,0,1,2,yes_registered,0,1,yes,1,0
A14,12,A34,A42,1935,A61,A75,4,A93,A101,4,A121,43,A143,A152,3,A173,1,A192,A201,1,161.25,Over_40,0,0,1,no_account,0,0,0,1,critical_or_other,0,0,0,0,1,furniture,0,0,1,0,0,0,0,0,0,0,0,<100,1,0,0,0,0,>=7yr,0,0,0,0,1,m_single,0,0,1,0,0,none,1,0,0,4,real_estate,1,0,0,0,none,0,0,1,own,0,1,0,3,skilled,0,0,1,0,1,yes_registered,0,1,yes,1,0
A12,12,A34,A44,1424,A61,A74,4,A93,A101,3,A122,26,A143,A152,1,A173,1,A191,A201,1,118.66666666666667,25_to_40,0,1,0,0-200,0,1,0,0,critical_or_other,0,0,0,0,1,domestic_app,0,0,0,0,1,0,0,0,0,0,0,<100,1,0,0,0,0,4-7yr,0,0,0,1,0,m_single,0,0,1,0,0,none,1,0,0,3,savings_ins,0,1,0,0,none,0,0,1,own,0,1,0,1,skilled,0,0,1,0,1,none,1,0,yes,1,0
A11,24,A32,A49,6568,A61,A73,2,A94,A101,2,A123,21,A142,A152,1,A172,1,A191,A201,1,273.6666666666667,Under_25,1,0,0,<0,1,0,0,0,existing_paid_duly,0,0,1,0,0,business,0,0,0,0,0,0,0,0,0,1,0,<100,1,0,0,0,0,1-4yr,0,0,1,0,0,m_mar_wid,0,0,0,1,0,none,1,0,0,2,car_other,0,0,1,0,stores,0,1,0,own,0,1,0,1,unskilled_res,0,1,0,0,1,none,1,0,yes,1,0
A14,12,A32,A41,1413,A64,A74,3,A93,A101,2,A122,55,A143,A152,1,A173,1,A191,A202,1,117.75,Over_40,0,0,1,no_account,0,0,0,1,existing_paid_duly,0,0,1,0,0,car_used,0,1,0,0,0,0,0,0,0,0,0,>=1000,0,0,0,1,0,4-7yr,0,0,0,1,0,m_single,0,0,1,0,0,none,1,0,0,2,savings_ins,0,1,0,0,none,0,0,1,own,0,1,0,1,skilled,0,0,1,0,1,none,1,0,no,0,1
A14,9,A34,A43,3074,A65,A73,1,A93,A101,2,A121,33,A143,A152,2,A173,2,A191,A201,1,341.55555555555554,25_to_40,0,1,0,no_account,0,0,0,1,critical_or_other,0,0,0,0,1,radio_tv,0,0,0,1,0,0,0,0,0,0,0,unknown,0,0,0,0,1,1-4yr,0,0,1,0,0,m_single,0,0,1,0,0,none,1,0,0,2,real_estate,1,0,0,0,none,0,0,1,own,0,1,0,2,skilled,0,0,1,0,2,none,1,0,yes,1,0
A14,36,A32,A43,3835,A65,A75,2,A92,A101,4,A121,45,A143,A152,1,A172,1,A192,A201,1,106.52777777777777,Over_40,0,0,1,no_account,0,0,0,1,existing_paid_duly,0,0,1,0,0,radio_tv,0,0,0,1,0,0,0,0,0,0,0,unknown,0,0,0,0,1,>=7yr,0,0,0,0,1,f_div_sep_mar,0,1,0,0,0,none,1,0,0,4,real_estate,1,0,0,0,none,0,0,1,own,0,1,0,1,unskilled_res,0,1,0,0,1,yes_registered,0,1,yes,1,0
A11,27,A30,A49,5293,A61,A71,2,A93,A101,4,A122,50,A142,A152,2,A173,1,A192,A201,2,196.03703703703704,Over_40,0,0,1,<0,1,0,0,0,no_credits,1,0,0,0,0,business,0,0,0,0,0,0,0,0,0,1,0,<100,1,0,0,0,0,unemployed,1,0,0,0,0,m_single,0,0,1,0,0,none,1,0,0,4,savings_ins,0,1,0,0,stores,0,1,0,own,0,1,0,2,skilled,0,0,1,0,1,yes_registered,0,1,yes,1,0
A13,30,A33,A49,1908,A61,A75,4,A93,A101,4,A121,66,A143,A152,1,A174,1,A192,A201,2,63.6,Over_40,0,0,1,>=200_or_salary,0,0,1,0,past_delay,0,0,0,1,0,business,0,0,0,0,0,0,0,0,0,1,0,<100,1,0,0,0,0,>=7yr,0,0,0,0,1,m_single,0,0,1,0,0,none,1,0,0,4,real_estate,1,0,0,0,none,0,0,1,own,0,1,0,1,management,0,0,0,1,1,yes_registered,0,1,yes,1,0
A14,36,A34,A43,3342,A65,A75,4,A93,A101,2,A123,51,A143,A152,1,A173,1,A192,A201,1,92.83333333333333,Over_40,0,0,1,no_account,0,0,0,1,critical_or_other,0,0,0,0,1,radio_tv,0,0,0,1,0,0,0,0,0,0,0,unknown,0,0,0,0,1,>=7yr,0,0,0,0,1,m_single,0,0,1,0,0,none,1,0,0,2,car_other,0,0,1,0,none,0,0,1,own,0,1,0,1,skilled,0,0,1,0,1,yes_registered,0,1,yes,1,0
A12,6,A34,A48,932,A65,A74,1,A92,A101,3,A122,39,A143,A152,2,A172,1,A191,A201,1,155.33333333333334,25_to_40,0,1,0,0-200,0,1,0,0,critical_or_other,0,0,0,0,1,retraining,0,0,0,0,0,0,0,0,1,0,0,unknown,0,0,0,0,1,4-7yr,0,0,0,1,0,f_div_sep_mar,0,1,0,0,0,none,1,0,0,3,savings_ins,0,1,0,0,none,0,0,1,own,0,1,0,2,unskilled_res,0,1,0,0,1,none,1,0,yes,1,0
A11,18,A30,A49,3104,A61,A74,3,A93,A101,1,A122,31,A141,A152,1,A173,1,A192,A201,1,172.44444444444446,25_to_40,0,1,0,<0,1,0,0,0,no_credits,1,0,0,0,0,business,0,0,0,0,0,0,0,0,0,1,0,<100,1,0,0,0,0,4-7yr,0,0,0,1,0,m_single,0,0,1,0,0,none,1,0,0,1,savings_ins,0,1,0,0,bank,1,0,0,own,0,1,0,1,skilled,0,0,1,0,1,yes_registered,0,1,yes,1,0
A13,36,A32,A43,3913,A61,A73,2,A93,A101,2,A121,23,A143,A152,1,A173,1,A192,A201,1,108.69444444444444,Under_25,1,0,0,>=200_or_salary,0,0,1,0,existing_paid_duly,0,0,1,0,0,radio_tv,0,0,0,1,0,0,0,0,0,0,0,<100,1,0,0,0,0,1-4yr,0,0,1,0,0,m_single,0,0,1,0,0,none,1,0,0,2,real_estate,1,0,0,0,none,0,0,1,own,0,1,0,1,skilled,0,0,1,0,1,yes_registered,0,1,yes,1,0
A11,24,A32,A42,3021,A61,A73,2,A91,A101,2,A121,24,A143,A151,1,A172,1,A191,A201,1,125.875,Under_25,1,0,0,<0,1,0,0,0,existing_paid_duly,0,0,1,0,0,furniture,0,0,1,0,0,0,0,0,0,0,0,<100,1,0,0,0,0,1-4yr,0,0,1,0,0,m_div_sep,1,0,0,0,0,none,1,0,0,2,real_estate,1,0,0,0,none,0,0,1,rent,1,0,0,1,unskilled_res,0,1,0,0,1,none,1,0,yes,1,0
A14,10,A32,A40,1364,A61,A73,2,A92,A101,4,A123,64,A143,A152,1,A173,1,A192,A201,1,136.4,Over_40,0,0,1,no_account,0,0,0,1,existing_paid_duly,0,0,1,0,0,car_new,1,0,0,0,0,0,0,0,0,0,0,<100,1,0,0,0,0,1-4yr,0,0,1,0,0,f_div_sep_mar,0,1,0,0,0,none,1,0,0,4,car_other,0,0,1,0,none,0,0,1,own,0,1,0,1,skilled,0,0,1,0,1,yes_registered,0,1,yes,1,0
A12,12,A32,A43,625,A61,A72,4,A94,A103,1,A121,26,A141,A152,1,A172,1,A191,A201,1,52.083333333333336,25_to_40,0,1,0,0-200,0,1,0,0,existing_paid_duly,0,0,1,0,0,radio_tv,0,0,0,1,0,0,0,0,0,0,0,<100,1,0,0,0,0,<1yr,0,1,0,0,0,m_mar_wid,0,0,0,1,0,guarantor,0,0,1,1,real_estate,1,0,0,0,bank,1,0,0,own,0,1,0,1,unskilled_res,0,1,0,0,1,none,1,0,yes,1,0
A11,12,A32,A46,1200,A65,A73,4,A92,A101,4,A122,23,A141,A151,1,A173,1,A192,A201,1,100.0,Under_25,1,0,0,<0,1,0,0,0,existing_paid_duly,0,0,1,0,0,education,0,0,0,0,0,0,1,0,0,0,0,unknown,0,0,0,0,1,1-4yr,0,0,1,0,0,f_div_sep_mar,0,1,0,0,0,none,1,0,0,4,savings_ins,0,1,0,0,bank,1,0,0,rent,1,0,0,1,skilled,0,0,1,0,1,yes_registered,0,1,yes,1,0
A14,12,A32,A43,707,A61,A73,4,A93,A101,2,A121,30,A141,A152,2,A173,1,A191,A201,1,58.916666666666664,25_to_40,0,1,0,no_account,0,0,0,1,existing_paid_duly,0,0,1,0,0,radio_tv,0,0,0,1,0,0,0,0,0,0,0,<100,1,0,0,0,0,1-4yr,0,0,1,0,0,m_single,0,0,1,0,0,none,1,0,0,2,real_estate,1,0,0,0,bank,1,0,0,own,0,1,0,2,skilled,0,0,1,0,1,none,1,0,yes,1,0
A14,24,A33,A49,2978,A65,A73,4,A93,A101,4,A121,32,A143,A152,2,A173,2,A192,A201,1,124.08333333333333,25_to_40,0,1,0,no_account,0,0,0,1,past_delay,0,0,0,1,0,business,0,0,0,0,0,0,0,0,0,1,0,unknown,0,0,0,0,1,1-4yr,0,0,1,0,0,m_single,0,0,1,0,0,none,1,0,0,4,real_estate,1,0,0,0,none,0,0,1,own,0,1,0,2,skilled,0,0,1,0,2,yes_registered,0,1,yes,1,0
A14,15,A32,A41,4657,A61,A73,3,A93,A101,2,A123,30,A143,A152,1,A173,1,A192,A201,1,310.46666666666664,25_to_40,0,1,0,no_account,0,0,0,1,existing_paid_duly,0,0,1,0,0,car_used,0,1,0,0,0,0,0,0,0,0,0,<100,1,0,0,0,0,1-4yr,0,0,1,0,0,m_single,0,0,1,0,0,none,1,0,0,2,car_other,0,0,1,0,none,0,0,1,own,0,1,0,1,skilled,0,0,1,0,1,yes_registered,0,1,yes,1,0
A14,36,A30,A45,2613,A61,A73,4,A93,A101,2,A123,27,A143,A152,2,A173,1,A191,A201,1,72.58333333333333,25_to_40,0,1,0,no_account,0,0,0,1,no_credits,1,0,0,0,0,repairs,0,0,0,0,0,1,0,0,0,0,0,<100,1,0,0,0,0,1-4yr,0,0,1,0,0,m_single,0,0,1,0,0,none,1,0,0,2,car_other,0,0,1,0,none,0,0,1,own,0,1,0,2,skilled,0,0,1,0,1,none,1,0,yes,1,0
A12,48,A32,A43,10961,A64,A74,1,A93,A102,2,A124,27,A141,A152,2,A173,1,A192,A201,2,228.35416666666666,25_to_40,0,1,0,0-200,0,1,0,0,existing_paid_duly,0,0,1,0,0,radio_tv,0,0,0,1,0,0,0,0,0,0,0,>=1000,0,0,0,1,0,4-7yr,0,0,0,1,0,m_single,0,0,1,0,0,coapplicant,0,1,0,2,unknown,0,0,0,1,bank,1,0,0,own,0,1,0,2,skilled,0,0,1,0,1,yes_registered,0,1,yes,1,0
A11,12,A32,A42,7865,A61,A75,4,A93,A101,4,A124,53,A143,A153,1,A174,1,A192,A201,2,655.4166666666666,Over_40,0,0,1,<0,1,0,0,0,existing_paid_duly,0,0,1,0,0,furniture,0,0,1,0,0,0,0,0,0,0,0,<100,1,0,0,0,0,>=7yr,0,0,0,0,1,m_single,0,0,1,0,0,none,1,0,0,4,unknown,0,0,0,1,none,0,0,1,free,0,0,1,1,management,0,0,0,1,1,yes_registered,0,1,yes,1,0
A14,9,A32,A43,1478,A61,A74,4,A93,A101,2,A123,22,A143,A152,1,A173,1,A191,A201,2,164.22222222222223,Under_25,1,0,0,no_account,0,0,0,1,existing_paid_duly,0,0,1,0,0,radio_tv,0,0,0,1,0,0,0,0,0,0,0,<100,1,0,0,0,0,4-7yr,0,0,0,1,0,m_single,0,0,1,0,0,none,1,0,0,2,car_other,0,0,1,0,none,0,0,1,own,0,1,0,1,skilled,0,0,1,0,1,none,1,0,yes,1,0
A11,24,A32,A42,3149,A61,A72,4,A93,A101,1,A124,22,A141,A153,1,A173,1,A191,A201,1,131.20833333333334,Under_25,1,0,0,<0,1,0,0,0,existing_paid_duly,0,0,1,0,0,furniture,0,0,1,0,0,0,0,0,0,0,0,<100,1,0,0,0,0,<1yr,0,1,0,0,0,m_single,0,0,1,0,0,none,1,0,0,1,unknown,0,0,0,1,bank,1,0,0,free,0,0,1,1,skilled,0,0,1,0,1,none,1,0,yes,1,0
A13,36,A32,A43,4210,A61,A73,4,A93,A101,2,A123,26,A143,A152,1,A173,1,A191,A201,2,116.94444444444444,25_to_40,0,1,0,>=200_or_salary,0,0,1,0,existing_paid_duly,0,0,1,0,0,radio_tv,0,0,0,1,0,0,0,0,0,0,0,<100,1,0,0,0,0,1-4yr,0,0,1,0,0,m_single,0,0,1,0,0,none,1,0,0,2,car_other,0,0,1,0,none,0,0,1,own,0,1,0,1,skilled,0,0,1,0,1,none,1,0,yes,1,0
A14,9,A32,A40,2507,A63,A75,2,A93,A101,4,A124,51,A143,A153,1,A172,1,A191,A201,1,278.55555555555554,Over_40,0,0,1,no_account,0,0,0,1,existing_paid_duly,0,0,1,0,0,car_new,1,0,0,0,0,0,0,0,0,0,0,500-1000,0,0,1,0,0,>=7yr,0,0,0,0,1,m_single,0,0,1,0,0,none,1,0,0,4,unknown,0,0,0,1,none,0,0,1,free,0,0,1,1,unskilled_res,0,1,0,0,1,none,1,0,yes,1,0
A14,12,A32,A43,2141,A62,A74,3,A93,A101,1,A124,35,A143,A152,1,A173,1,A191,A201,1,178.41666666666666,25_to_40,0,1,0,no_account,0,0,0,1,existing_paid_duly,0,0,1,0,0,radio_tv,0,0,0,1,0,0,0,0,0,0,0,100-500,0,1,0,0,0,4-7yr,0,0,0,1,0,m_single,0,0,1,0,0,none,1,0,0,1,unknown,0,0,0,1,none,0,0,1,own,0,1,0,1,skilled,0,0,1,0,1,none,1,0,yes,1,0
A12,18,A32,A43,866,A61,A73,4,A94,A103,2,A121,25,A143,A152,1,A172,1,A191,A201,1,48.111111111111114,25_to_40,0,1,0,0-200,0,1,0,0,existing_paid_duly,0,0,1,0,0,radio_tv,0,0,0,1,0,0,0,0,0,0,0,<100,1,0,0,0,0,1-4yr,0,0,1,0,0,m_mar_wid,0,0,0,1,0,guarantor,0,0,1,2,real_estate,1,0,0,0,none,0,0,1,own,0,1,0,1,unskilled_res,0,1,0,0,1,none,1,0,yes,1,0
A14,4,A34,A43,1544,A61,A74,2,A93,A101,1,A121,42,A143,A152,3,A172,2,A191,A201,1,386.0,Over_40,0,0,1,no_account,0,0,0,1,critical_or_other,0,0,0,0,1,radio_tv,0,0,0,1,0,0,0,0,0,0,0,<100,1,0,0,0,0,4-7yr,0,0,0,1,0,m_single,0,0,1,0,0,none,1,0,0,1,real_estate,1,0,0,0,none,0,0,1,own,0,1,0,3,unskilled_res,0,1,0,0,2,none,1,0,yes,1,0
A11,24,A32,A43,1823,A61,A71,4,A93,A101,2,A123,30,A142,A152,1,A174,2,A191,A201,2,75.95833333333333,25_to_40,0,1,0,<0,1,0,0,0,existing_paid_duly,0,0,1,0,0,radio_tv,0,0,0,1,0,0,0,0,0,0,0,<100,1,0,0,0,0,unemployed,1,0,0,0,0,m_single,0,0,1,0,0,none,1,0,0,2,car_other,0,0,1,0,stores,0,1,0,own,0,1,0,1,management,0,0,0,1,2,none,1,0,yes,1,0
A12,6,A32,A40,14555,A65,A71,1,A93,A101,2,A122,23,A143,A152,1,A171,1,A192,A201,2,2425.8333333333335,Under_25,1,0,0,0-200,0,1,0,0,existing_paid_duly,0,0,1,0,0,car_new,1,0,0,0,0,0,0,0,0,0,0,unknown,0,0,0,0,1,unemployed,1,0,0,0,0,m_single,0,0,1,0,0,none,1,0,0,2,savings_ins,0,1,0,0,none,0,0,1,own,0,1,0,1,unskilled_nonres,1,0,0,0,1,yes_registered,0,1,yes,1,0
